Age,Monthly_Income,Spending_Score,Subscribed
22,25000,60,0
25,27000,65,0
47,52000,30,1
52,58000,25,1
46,50000,28,1
56,60000,20,1
23,26000,70,0
27,30000,68,0
48,54000,35,1
50,56000,32,1
24,28000,75,0
26,29000,72,0
45,49000,40,1
53,61000,22,1
28,32000,66,0
29,34000,64,0
49,55000,27,1
51,57000,29,1
30,36000,62,0
31,38000,60,0
44,48000,38,1
55,62000,18,1
32,40000,58,0
33,42000,55,0
43,47000,42,1
54,63000,15,1
34,44000,53,0
35,46000,50,0
42,46000,45,1
41,45000,47,1
36,48000,48,0
37,50000,46,0
40,44000,49,1
39,43000,52,0
38,42000,54,0
